id,name,compiled,launched,milliseconds,cycles,pagefaults,page_maps_issues,page_file_issues
1,Lalo,false,false,80,9,39,11,47
2,Cordi,false,true,91,88,60,85,87
3,Aharon,true,false,74,18,12,71,87
4,Currie,false,false,99,93,82,78,90
5,Adella,true,false,68,56,78,26,98
6,Trista,true,true,43,46,15,83,93
7,Tabby,false,false,23,87,52,82,28
8,Chase,false,false,99,95,79,11,75
9,Bourke,true,false,79,16,22,62,70
10,Mel,true,true,27,72,71,94,67
11,Misha,false,false,14,39,99,74,6
12,Archibald,true,false,73,23,23,78,72
13,Iormina,true,false,23,50,64,75,50
14,Morey,true,false,3,39,20,97,3
15,Sherie,false,true,14,43,23,83,91
16,Babette,false,false,58,99,55,19,90
17,Becca,false,false,75,41,78,34,59
18,Lianne,false,true,87,1,77,76,50
19,Valentina,true,true,7,45,19,86,11
20,Tully,false,false,79,53,94,19,3
21,Lindon,true,true,31,31,22,27,28
22,Cinnamon,false,false,32,12,57,90,76
23,Luisa,true,false,69,87,85,78,98
24,Erny,false,false,47,88,86,47,93
25,Janet,false,false,46,37,29,40,28
26,Henderson,true,false,30,29,27,40,25
27,Beatriz,false,true,41,18,47,95,15
28,Holmes,true,false,63,16,41,100,97
29,Seamus,false,true,15,33,33,7,57
30,Ferguson,false,false,4,8,60,70,96
31,Milissent,false,false,39,59,58,44,75
32,Phebe,true,true,77,9,43,32,33
33,Zonda,true,false,52,20,62,17,86
34,Sosanna,true,true,72,72,8,83,64
35,Whitaker,true,false,68,68,75,63,92
36,Fawne,true,false,84,29,99,1,18
37,Cathyleen,true,false,75,75,28,77,42
38,Zorina,true,false,14,65,64,44,31
39,Lyndy,true,true,40,35,94,90,85
40,Ardath,true,false,11,78,77,2,16
41,Errick,true,true,85,86,70,60,24
42,Joline,true,true,71,47,89,26,79
43,Cassandry,true,false,58,87,11,73,20
44,Dulcie,false,true,51,59,15,45,9
45,Hamnet,true,false,100,91,94,83,67
46,Baillie,true,true,89,33,76,79,25
47,Patsy,false,true,91,90,100,86,10
48,Rhys,true,true,41,39,53,35,97
49,Kellen,true,false,12,21,30,73,13
50,Dorolice,true,false,23,94,67,87,4
51,Caterina,false,true,57,52,2,61,55
52,Boniface,false,true,47,56,4,1,93
53,Morley,true,true,37,44,37,76,45
54,Elwin,true,false,22,87,68,86,23
55,Lena,true,true,88,92,14,61,44
56,Tove,false,false,57,80,19,48,6
57,Aubrey,false,false,43,29,40,9,41
58,Gale,true,true,74,44,68,45,72
59,Major,true,true,46,35,56,97,50
60,Codi,false,true,73,23,66,30,61
